segment_id,segment_name,frame_from,frame_to,frames_count,objects_count,own_score,competitor_score,other_ad_score,total_ad_score,telecom_score,telecom_share,visual_share,dominance_index
1,segment_01,1,5,5,8,0.005560035299586354,0.0006647473882628831,0.006533101254634317,0.012757883942483552,0.006224782687849237,0.8932095429515204,0.4358117164768621,0.7864190859030409
2,segment_02,6,10,5,5,0.0,0.005658282453556408,0.002359566560546879,0.008017849014103287,0.005658282453556408,0.0,0.0,-1.0
3,segment_03,11,15,5,13,0.002998814377604933,0.0,0.0093809907408036,0.012379805118408534,0.002998814377604933,1.0,0.24223437678722043,1.0
4,segment_04,16,20,5,4,0.005405941283039057,0.0,0.0,0.005405941283039057,0.005405941283039057,1.0,1.0,1.0
5,segment_05,21,25,5,0,0.0,0.0,0.0,0.0,0.0,,,
6,segment_06,26,30,5,0,0.0,0.0,0.0,0.0,0.0,,,
7,segment_07,31,35,5,16,0.015458842540767627,0.003914993897511643,0.03771582776862199,0.057089664206901265,0.019373836438279272,0.7979236631844218,0.2707818088532195,0.5958473263688436
8,segment_08,36,40,5,10,0.015435311935255954,0.006442643841829252,0.006244615753996746,0.028122571531081955,0.021877955777085206,0.7055189293061271,0.5488584825251972,0.4110378586122544
9,segment_09,41,45,5,6,0.016612562358793517,0.001974234931717614,0.0007431451031753918,0.019329942393686524,0.01858679729051113,0.8937829416837997,0.8594212036668797,0.7875658833675994
10,segment_10,46,50,5,11,0.0011221444913601616,0.0021452022626291495,0.008426301111596217,0.011693647865585528,0.003267346753989311,0.3434421185905855,0.09596188497026999,-0.31311576281882897
11,segment_11,51,55,5,12,0.007417924193170495,0.0070114320212018725,0.0,0.014429356214372366,0.014429356214372366,0.5140855962639461,0.5140855962639461,0.02817119252789223
12,segment_12,56,60,5,4,0.0033246409831024747,0.0,0.0148758435746517,0.018200484557754172,0.0033246409831024747,1.0,0.18266771813424262,1.0
